"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ProjectCode.nlogo"
"Tolerance Sensitivity"
"12/17/2025 13:30:16:443 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","religious-tolerance","linguistic-tolerance","birth-rate","death-rate","viz-mode","rel-focus","lang-focus","[step]","ticks","count households","count households with [religion = ""Muslim""]","count households with [religion = ""Hindu""]","count households with [religion = ""Christian""]","count households with [language = ""Urdu""]","count households with [language = ""Sindhi""]","count households with [language = ""Pashto""]","global-religion-similarity","max [m-muslim] of managers","max [m-hindu] of managers","max [m-christian] of managers","standard-deviation [m-total] of managers"
"1","10","10","25","10","Religion","Muslim","Urdu","42","42","5193","4988","100","95","2449","557","880","95.2263907708159","649","79","72","193.58168632658862"
"1","10","10","25","10","Religion","Muslim","Urdu","43","43","5274","5064","101","99","2493","565","889","95.26451347416659","649","76","70","196.72412753127455"
"2","10","30","25","10","Religion","Muslim","Urdu","15","15","3421","3291","40","88","1585","431","569","92.59427459693828","471","6","8","94.2313936836103"
"1","10","10","25","10","Religion","Muslim","Urdu","44","44","5375","5158","102","104","2532","575","911","95.18498522071107","660","78","75","200.09468346995422"
"1","10","10","25","10","Religion","Muslim","Urdu","45","45","5435","5214","103","107","2570","578","916","95.08357193652935","672","78","75","203.13054014566416"
"2","10","30","25","10","Religion","Muslim","Urdu","16","16","3465","3332","42","89","1601","440","582","92.60008666306199","470","8","9","94.35506920652077"
"1","10","10","25","10","Religion","Muslim","Urdu","46","46","5516","5291","106","108","2611","591","925","95.13257360312186","682","79","78","206.3328185872131"
"1","10","10","25","10","Religion","Muslim","Urdu","47","47","5611","5383","108","109","2664","605","934","95.22883524603859","693","82","82","209.3275570578104"
"2","10","30","25","10","Religion","Muslim","Urdu","17","17","3532","3399","42","89","1628","446","597","92.67129561535408","489","6","9","98.07575103549537"
"1","10","10","25","10","Religion","Muslim","Urdu","48","48","5707","5475","111","110","2713","612","946","95.3150173348073","699","85","82","211.7289625789803"
"1","10","10","25","10","Religion","Muslim","Urdu","49","49","5794","5559","112","112","2757","622","966","95.3397047961321","714","88","84","216.31824927019048"
"2","10","30","25","10","Religion","Muslim","Urdu","18","18","3577","3442","42","91","1652","451","606","92.6526308449188","505","5","10","100.69613904366271"
"1","10","10","25","10","Religion","Muslim","Urdu","50","50","5895","5655","112","116","2812","628","980","95.35923914275047","723","89","83","220.45965054027428"
"1","10","10","25","10","Religion","Muslim","Urdu","51","51","5984","5743","113","116","2860","635","998","95.48955108928767","729","92","90","224.5969592796106"
"2","10","30","25","10","Religion","Muslim","Urdu","19","19","3625","3491","42","90","1676","457","609","92.81908083780715","518","6","10","100.82530352081942"
"1","10","10","25","10","Religion","Muslim","Urdu","52","52","6078","5835","115","116","2909","642","1012","95.57071894748226","742","95","89","228.32284218062352"
"1","10","10","25","10","Religion","Muslim","Urdu","53","53","6160","5912","119","116","2941","652","1037","95.6047202807578","759","96","91","231.60463268758883"
"2","10","30","25","10","Religion","Muslim","Urdu","20","20","3663","3529","41","91","1686","463","620","92.96845894598582","513","6","13","99.53842822151883"
