"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ProjectCode.nlogo"
"Demographic Rates"
"12/17/2025 13:32:20:219 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","religious-tolerance","linguistic-tolerance","birth-rate","death-rate","viz-mode","rel-focus","lang-focus","[step]","ticks","count households","count households with [religion = ""Muslim""]","count households with [religion = ""Hindu""]","count households with [religion = ""Christian""]","count households with [language = ""Urdu""]","count households with [language = ""Sindhi""]","count households with [language = ""Pashto""]","global-religion-similarity","max [m-muslim] of managers","max [m-hindu] of managers","max [m-christian] of managers","standard-deviation [m-total] of managers"
"2","5","15","20","8","Religion","Muslim","Urdu","40","40","4449","4279","38","124","2215","466","676","93.50005004910938","564","25","32","162.91215203613805"
"1","5","5","20","8","Religion","Muslim","Urdu","38","38","4660","4498","34","117","2258","496","855","94.14168214292569","581","14","35","183.84548783881755"
"1","5","5","20","8","Religion","Muslim","Urdu","39","39","4710","4544","35","120","2287","505","860","94.13034497521642","586","14","35","187.06585467938316"
"2","5","15","20","8","Religion","Muslim","Urdu","41","41","4504","4335","38","123","2237","479","690","93.51538961985628","570","27","34","164.9457129945914"
"1","5","5","20","8","Religion","Muslim","Urdu","40","40","4768","4601","35","119","2317","518","873","94.10727244774151","594","15","37","190.0541718439617"
"2","5","15","20","8","Religion","Muslim","Urdu","42","42","4549","4380","39","122","2265","480","690","93.60867440132989","581","28","33","166.19073222392453"
"1","5","5","20","8","Religion","Muslim","Urdu","41","41","4806","4638","35","120","2331","524","874","94.15086163235759","599","17","36","191.8850418376736"
"2","5","15","20","8","Religion","Muslim","Urdu","43","43","4593","4421","39","125","2282","489","705","93.6136598659934","587","29","32","166.80026997987588"
"1","5","5","20","8","Religion","Muslim","Urdu","42","42","4875","4704","37","122","2349","538","898","94.1117788523568","611","15","37","193.31534737162428"
"2","5","15","20","8","Religion","Muslim","Urdu","44","44","4667","4489","39","129","2330","496","708","93.5212329441658","596","29","32","168.89615674936442"
"1","5","5","20","8","Religion","Muslim","Urdu","43","43","4937","4764","39","122","2369","546","912","94.13128009257072","619","19","39","195.09552712935874"
"2","5","15","20","8","Religion","Muslim","Urdu","45","45","4722","4539","40","133","2357","501","719","93.46215620520934","603","31","34","170.71469338035232"
"1","5","5","20","8","Religion","Muslim","Urdu","44","44","5001","4826","39","124","2401","557","924","94.07619869425815","627","18","39","197.61126591948306"
"2","5","15","20","8","Religion","Muslim","Urdu","46","46","4789","4604","40","135","2380","509","724","93.45879436103878","610","32","36","171.98392537744712"
"1","5","5","20","8","Religion","Muslim","Urdu","45","45","5063","4886","40","125","2433","563","934","94.12007191498874","632","18","40","199.14205689288593"
"2","5","15","20","8","Religion","Muslim","Urdu","47","47","4855","4668","40","137","2419","517","733","93.45783698864683","620","31","36","176.02990127756948"
"1","5","5","20","8","Religion","Muslim","Urdu","46","46","5145","4968","41","124","2469","571","950","94.15702515264259","644","19","41","201.20601252727062"
"2","5","15","20","8","Religion","Muslim","Urdu","48","48","4908","4713","41","144","2442","520","743","93.43574498763031","623","32","36","177.6492928267097"
"1","5","5","20","8","Religion","Muslim","Urdu","47","47","5198","5017","41","128","2483","577","964","94.15904680613217","661","20","41","205.52207552818203"
"2","5","15","20","8","Religion","Muslim","Urdu","49","49","4931","4736","41","145","2459","522","742","93.34104527654561","638","33","39","181.4010830760844"
"1","5","5","20","8","Religion","Muslim","Urdu","48","48","5260","5073","43","131","2515","590","968","94.11268862712568","667","21","42","207.76671180905691"
"2","5","15","20","8","Religion","Muslim","Urdu","50","50","4998","4802","41","146","2502","529","751","93.43735025356975","641","33","40","182.02374512917172"
"1","5","5","20","8","Religion","Muslim","Urdu","49","49","5318","5123","43","139","2548","599","970","93.95174868719182","674","23","43","209.8011819502274"
"2","5","15","20","8","Religion","Muslim","Urdu","51","51","5046","4850","40","147","2528","538","754","93.46231002850203","651","35","40","183.91782052286928"
"1","5","5","20","8","Religion","Muslim","Urdu","50","50","5395","5198","43","141","2574","608","984","93.85823769138523","680","22","46","211.27184111867155"
"2","5","15","20","8","Religion","Muslim","Urdu","52","52","5132","4928","42","153","2575","547","765","93.36827247159421","655","32","40","184.62489794493177"
"1","5","5","20","8","Religion","Muslim","Urdu","51","51","5454","5255","44","142","2605","613","996","93.89062886184347","689","22","46","214.76959078087148"
